userid,cluster
103207,2
103855,2
103928,2
103933,2
103943,0
104079,0
104095,0
104113,2
104300,2
104401,2
104402,2
104405,2
104406,2
104410,2
104411,2
104439,2
104463,2
104480,2
104484,0
104486,0
104487,2
104489,2
104490,2
104491,2
104493,0
104495,0
104500,2
104501,2
104507,0
104511,0
104512,2
104514,2
104515,0
104520,2
104525,2
104527,2
104530,0
104531,2
104533,2
104534,2
104536,2
104538,2
104539,2
104540,2
104541,2
104544,0
104545,0
104548,2
104554,2
104555,2
104556,2
104565,2
104568,2
104575,0
105517,2
105538,0
105544,2
105579,0
111191,0
111197,2
111201,0
111203,0
111210,0
111237,0
111242,2
111270,2
111306,0
111307,2
111310,0
111349,2
111359,2
111371,0
111385,0
111390,2
111399,0
111448,0
111465,2
111468,0
111493,2
111496,0
111501,0
111503,2
111606,2
111624,2
111627,2
111632,0
111645,0
111661,2
111676,2
111692,0
111695,0
111697,0
111703,0
111704,2
111724,0
111727,0
111730,2
111741,2
111761,2
111810,0
111811,0
111917,2
111955,0
111957,0
113825,0
114114,0
115478,0
115557,0
117730,0
118343,2
118484,0
119391,0
18167,0
23914,1
24251,0
53705,0
63121,2
63128,0
63343,0
63541,0
63668,0
64245,0
64738,0
64894,0
64991,0
65107,0
65323,0
66168,0
66254,0
66264,0
66745,0
69167,0
76009,2
76038,2
76081,2
76154,2
76231,2
76244,0
76439,2
76490,0
76521,2
76584,0
76698,0
76739,2
76767,0
76786,2
76803,2
76910,0
76943,2
76963,2
78698,0
80657,0
81714,2
81895,0
82010,0
95489,2
99597,0
